year,district,crop,season,price
2016,Adilabad,Jowar,Rabi,1663
2017,Adilabad,Jowar,Kharif,1443
2017,Adilabad,Jowar,Rabi,1584
2018,Adilabad,Jowar,Kharif,1382
2018,Adilabad,Jowar,Rabi,1446
2019,Adilabad,Jowar,Kharif,1382
2019,Adilabad,Jowar,Rabi,2031
2020,Adilabad,Jowar,Kharif,1382
2020,Adilabad,Jowar,Rabi,2031
2021,Adilabad,Jowar,Kharif,1382
2021,Adilabad,Jowar,Rabi,2031
2022,Adilabad,Jowar,Kharif,2500
2022,Adilabad,Jowar,Rabi,2716
2023,Adilabad,Jowar,Kharif,2469
2023,Adilabad,Jowar,Rabi,2424
2024,Adilabad,Jowar,Kharif,2469
2024,Adilabad,Jowar,Rabi,2431
2013,Adilabad,Maize,Kharif,1301
2013,Adilabad,Maize,Rabi,1175
2014,Adilabad,Maize,Kharif,1310
2014,Adilabad,Maize,Rabi,1259
2015,Adilabad,Maize,Kharif,1328
2015,Adilabad,Maize,Rabi,1279
2016,Adilabad,Maize,Kharif,1362
2016,Adilabad,Maize,Rabi,1388
2017,Adilabad,Maize,Kharif,1425
2017,Adilabad,Maize,Rabi,1393
2018,Adilabad,Maize,Kharif,1616
2018,Adilabad,Maize,Rabi,1309
2019,Adilabad,Maize,Kharif,1739
2019,Adilabad,Maize,Rabi,1929
2020,Adilabad,Maize,Kharif,1472
2020,Adilabad,Maize,Rabi,1760
2021,Adilabad,Maize,Kharif,1766
2021,Adilabad,Maize,Rabi,1700
2022,Adilabad,Maize,Kharif,2039
2022,Adilabad,Maize,Rabi,2026
2023,Adilabad,Maize,Kharif,2145
2023,Adilabad,Maize,Rabi,1898
2024,Adilabad,Maize,Kharif,2270
2024,Adilabad,Maize,Rabi,2102
2013,Adilabad,Moong(Green Gram),Kharif,3666
2013,Adilabad,Moong(Green Gram),Rabi,10800
2014,Adilabad,Moong(Green Gram),Kharif,3666
2014,Adilabad,Moong(Green Gram),Rabi,10800
2015,Adilabad,Moong(Green Gram),Kharif,3666
2015,Adilabad,Moong(Green Gram),Rabi,10800
2016,Adilabad,Moong(Green Gram),Kharif,3666
2016,Adilabad,Moong(Green Gram),Rabi,10800
2017,Adilabad,Moong(Green Gram),Kharif,3666
2017,Adilabad,Moong(Green Gram),Rabi,3562
2018,Adilabad,Moong(Green Gram),Kharif,3666
2018,Adilabad,Moong(Green Gram),Rabi,4352
2019,Adilabad,Moong(Green Gram),Kharif,3666
2019,Adilabad,Moong(Green Gram),Rabi,4352
2020,Adilabad,Moong(Green Gram),Kharif,3666
2020,Adilabad,Moong(Green Gram),Rabi,4352
2021,Adilabad,Moong(Green Gram),Kharif,3666
2021,Adilabad,Moong(Green Gram),Rabi,4352
2022,Adilabad,Moong(Green Gram),Kharif,3666
2022,Adilabad,Moong(Green Gram),Rabi,4352
