district,crop,season,yield
Mulugu,Coriander,Rabi,1.0
Mulugu,Cowpea(Lobia),Rabi,1.03
Medchal,Wheat,Kharif,2.0
Mulugu,Arhar/Tur,Kharif,12.04
Mulugu,Cowpea(Lobia),Kharif,0.85
Mulugu,Dry chillies,Rabi,5.98
Mulugu,Dry chillies,Kharif,4.37
Nalgonda,Coriander,Rabi,0.63
Nalgonda,Castor seed,Rabi,0.84
Nalgonda,Coriander,Whole Year,0.48
Nalgonda,Cowpea(Lobia),Rabi,0.78
Nalgonda,Cowpea(Lobia),Kharif,0.75
Nalgonda,Dry chillies,Kharif,4.73
Nalgonda,Dry chillies,Rabi,4.54
Nalgonda,Ginger,Rabi,6.5
Nalgonda,Ginger,Kharif,6.79
Nalgonda,Gram,Kharif,2.0
Nalgonda,Groundnut,Kharif,1.9
Nalgonda,Horse-gram,Kharif,1.17
Nalgonda,Gram,Rabi,1.24
Nalgonda,Groundnut,Rabi,1.73
Nalgonda,Horse-gram,Rabi,1.02
Nalgonda,Jowar,Kharif,0.77
Nagarkurnool,Horse-gram,Rabi,1.01
Nagarkurnool,Jowar,Kharif,0.97
Nagarkurnool,Jowar,Rabi,1.66
Nagarkurnool,Maize,Kharif,2.6
Nagarkurnool,Moong(Green Gram),Kharif,0.61
Nagarkurnool,Onion,Kharif,16.79
Nagarkurnool,Potato,Kharif,12.0
Nagarkurnool,Maize,Rabi,6.45
Nagarkurnool,Moong(Green Gram),Rabi,1.0
Nagarkurnool,Onion,Rabi,30.1
Nagarkurnool,Potato,Rabi,15.74
Nagarkurnool,Ragi,Kharif,1.29
Nagarkurnool,Rice,Kharif,2.77
Nagarkurnool,Sesamum,Kharif,0.16
Nagarkurnool,Small millets,Kharif,1.39
Siddipet,Castor seed,Kharif,0.85
Siddipet,Coriander,Kharif,1.26
Siddipet,Cowpea(Lobia),Kharif,0.98
Siddipet,Dry chillies,Kharif,4.52
Siddipet,Ginger,Kharif,8.19
Siddipet,Gram,Kharif,1.04
Siddipet,Groundnut,Kharif,1.94
Siddipet,Horse-gram,Kharif,1.16
Siddipet,Jowar,Kharif,0.92
Siddipet,Maize,Kharif,3.83
Siddipet,Moong(Green Gram),Kharif,0.64
Siddipet,Onion,Kharif,17.68
Siddipet,Potato,Kharif,18.49
Siddipet,Castor seed,Rabi,0.96
Siddipet,Coriander,Rabi,0.91
Siddipet,Cowpea(Lobia),Rabi,0.99
Siddipet,Dry chillies,Rabi,5.56
Siddipet,Garlic,Rabi,3.4
Siddipet,Ginger,Rabi,8.12
Siddipet,Gram,Rabi,1.68
Siddipet,Groundnut,Rabi,1.88
Siddipet,Horse-gram,Rabi,1.06
Siddipet,Jowar,Rabi,2.32
Siddipet,Maize,Rabi,6.01
Siddipet,Moong(Green Gram),Rabi,0.92
Siddipet,Onion,Rabi,18.44
Siddipet,Potato,Rabi,18.57
Siddipet,Ragi,Kharif,1.59
Siddipet,Rice,Kharif,3.41
Rangareddi,Ragi,Rabi,1.62
Rangareddi,Rice,Rabi,2.84
Rangareddi,Safflower,Rabi,1.06
Rangareddi,Ragi,Kharif,1.59
Rangareddi,Rice,Kharif,2.96
Rangareddi,Safflower,Kharif,1.31
Rangareddi,Sesamum,Kharif,0.14
Rangareddi,Soyabean,Kharif,1.4
Rangareddi,Sunflower,Kharif,2.02
Rangareddi,Sesamum,Rabi,0.76
Rangareddi,Small millets,Kharif,1.13
Rangareddi,Soyabean,Rabi,1.37
Rangareddi,Sugarcane,Kharif,77.29
Rangareddi,Sunflower,Rabi,1.86
Rangareddi,Sweet potato,Kharif,8.83
Rangareddi,Sweet potato,Rabi,11.19
Rangareddi,Sweet potato,Whole Year,8.74
Rangareddi,Turmeric,Kharif,5.62
Rangareddi,Urad,Rabi,1.37
Rangareddi,Urad,Kharif,0.79
Rangareddi,Wheat,Kharif,1.52
Rangareddi,Wheat,Rabi,2.28
Rangareddi,other oilseeds,Kharif,0.33
Rajanna,Turmeric,Rabi,7.38
Rajanna,Urad,Rabi,1.69
Rajanna,Wheat,Rabi,2.25
Rajanna,Turmeric,Kharif,7.17
Rajanna,Urad,Kharif,0.76
Rangareddi,Arhar/Tur,Kharif,0.51
Rangareddi,Bajra,Kharif,0.86
Rangareddi,Arhar/Tur,Rabi,0.71
Rangareddi,Bajra,Rabi,2.09
Rangareddi,Banana,Kharif,49.76
Rangareddi,Banana,Whole Year,31.14
Rangareddi,Cashewnut,Kharif,0.33
Rangareddi,Castor seed,Kharif,0.41
Rangareddi,Castor seed,Rabi,0.87
Rangareddi,Coriander,Kharif,0.76
Rangareddi,Coriander,Whole Year,0.42
Rangareddi,Cowpea(Lobia),Rabi,1.7
Rangareddi,Dry chillies,Rabi,4.56
Rangareddi,Coriander,Rabi,0.76
Rangareddi,Cowpea(Lobia),Kharif,0.75
Rangareddi,Dry chillies,Kharif,4.54
Rajanna,Banana,Kharif,38.12
Rajanna,Castor seed,Rabi,0.97
Rajanna,Castor seed,Kharif,0.85
Rajanna,Coriander,Kharif,1.0
Rajanna,Coriander,Rabi,0.88
Rajanna,Cowpea(Lobia),Rabi,1.42
Rajanna,Cowpea(Lobia),Kharif,0.6
Rajanna,Dry chillies,Rabi,5.08
Rajanna,Garlic,Rabi,4.0
Rajanna,Ginger,Kharif,9.0
Rajanna,Gram,Rabi,1.41
Rajanna,Groundnut,Rabi,2.29
Rajanna,Dry chillies,Kharif,4.39
Rajanna,Groundnut,Kharif,2.01
Rajanna,Horse-gram,Kharif,1.25
Rajanna,Horse-gram,Rabi,0.96
Rajanna,Jowar,Kharif,0.98
Rajanna,Maize,Kharif,5.01
Rajanna,Moong(Green Gram),Kharif,0.61
Rajanna,Jowar,Rabi,2.3
Rajanna,Maize,Rabi,6.21
Rajanna,Moong(Green Gram),Rabi,0.9
Sangareddy,Groundnut,Rabi,1.74
Sangareddy,Horse-gram,Rabi,1.06
Sangareddy,Groundnut,Kharif,2.24
Sangareddy,Horse-gram,Kharif,0.96
Sangareddy,Jowar,Kharif,0.66
Sangareddy,Jowar,Rabi,1.69
Sangareddy,Maize,Kharif,3.54
Sangareddy,Maize,Rabi,3.87
Sangareddy,Moong(Green Gram),Kharif,0.74
Sangareddy,Moong(Green Gram),Rabi,0.98
Sangareddy,Onion,Rabi,37.03
Sangareddy,Potato,Rabi,16.84
Sangareddy,Onion,Kharif,11.89
Sangareddy,Potato,Kharif,19.2
Sangareddy,Ragi,Kharif,1.47
Sangareddy,Ragi,Rabi,1.26
Sangareddy,Rice,Rabi,3.72
Sangareddy,Rice,Kharif,3.55
Sangareddy,Safflower,Rabi,0.66
Sangareddy,Sesamum,Rabi,0.69
Sangareddy,Sesamum,Kharif,0.2
Sangareddy,Small millets,Kharif,1.12
Sangareddy,Soyabean,Kharif,1.3
Sangareddy,Sunflower,Kharif,1.85
Sangareddy,Turmeric,Kharif,4.76
Sangareddy,Urad,Kharif,0.76
Sangareddy,Wheat,Kharif,2.0
Sangareddy,Small millets,Rabi,1.0
Sangareddy,Soyabean,Rabi,1.55
Sangareddy,Sugarcane,Kharif,87.56
Sangareddy,Sunflower,Rabi,2.04
Sangareddy,Sweet potato,Rabi,12.14
Sangareddy,Tobacco,Rabi,3.39
Sangareddy,Turmeric,Rabi,7.52
Sangareddy,Urad,Rabi,1.62
Sangareddy,Wheat,Rabi,1.73
Siddipet,Arhar/Tur,Rabi,0.94
Siddipet,Bajra,Rabi,2.27
Siddipet,Arhar/Tur,Kharif,0.78
Siddipet,Bajra,Kharif,1.13
Siddipet,Banana,Kharif,49.78
Siddipet,Cashewnut,Kharif,0.76
Rangareddi,Ginger,Kharif,11.43
Rangareddi,Gram,Kharif,1.41
Rangareddi,Groundnut,Kharif,1.35
Rangareddi,Horse-gram,Kharif,0.94
Rangareddi,Jowar,Kharif,1.04
Rangareddi,Maize,Kharif,2.3
Rangareddi,Moong(Green Gram),Kharif,0.65
Rangareddi,Ginger,Rabi,9.0
Rangareddi,Gram,Rabi,1.25
Rangareddi,Groundnut,Rabi,2.65
Rangareddi,Horse-gram,Rabi,0.99
Rangareddi,Jowar,Rabi,1.83
Rangareddi,Maize,Rabi,5.1
Rangareddi,Moong(Green Gram),Rabi,0.88
Rangareddi,Oilseeds total,Rabi,1.16
