district,crop,season,yield
Suryapet,Coriander,Kharif,1.0
Suryapet,Cowpea(Lobia),Rabi,0.62
Suryapet,Castor seed,Kharif,0.5
Suryapet,Cowpea(Lobia),Kharif,0.87
Suryapet,Dry chillies,Kharif,4.05
Suryapet,Dry chillies,Rabi,7.57
Suryapet,Ginger,Kharif,9.0
Suryapet,Gram,Rabi,1.49
Suryapet,Groundnut,Rabi,2.1
Suryapet,Horse-gram,Rabi,1.21
Suryapet,Jowar,Rabi,1.58
Suryapet,Groundnut,Kharif,1.9
Suryapet,Horse-gram,Kharif,1.77
Suryapet,Jowar,Kharif,0.94
Wanaparthy,Cowpea(Lobia),Kharif,0.76
Wanaparthy,Dry chillies,Kharif,4.39
Wanaparthy,Groundnut,Kharif,2.09
Wanaparthy,Horse-gram,Kharif,1.03
Wanaparthy,Jowar,Kharif,0.93
Wanaparthy,Maize,Kharif,3.24
Wanaparthy,Moong(Green Gram),Kharif,0.6
Wanaparthy,Onion,Kharif,23.04
Wanaparthy,Ragi,Kharif,1.59
Wanaparthy,Rice,Rabi,3.32
Wanaparthy,Safflower,Rabi,1.0
Wanaparthy,Rice,Kharif,2.89
Wanaparthy,Sesamum,Kharif,0.17
Wanaparthy,Sesamum,Rabi,0.72
Wanaparthy,Small millets,Kharif,1.14
Wanaparthy,Soyabean,Kharif,1.44
Wanaparthy,Small millets,Rabi,1.0
Wanaparthy,Soyabean,Rabi,1.47
Wanaparthy,Sugarcane,Kharif,76.3
Wanaparthy,Sunflower,Rabi,1.84
Wanaparthy,Tobacco,Rabi,5.21
Suryapet,Maize,Kharif,3.4
Suryapet,Maize,Rabi,5.74
Suryapet,Moong(Green Gram),Kharif,0.41
Suryapet,Moong(Green Gram),Rabi,0.77
Suryapet,Onion,Kharif,16.85
Suryapet,Onion,Rabi,28.06
Suryapet,Ragi,Rabi,1.35
Suryapet,Rice,Kharif,3.36
Suryapet,Sesamum,Kharif,0.15
Suryapet,Small millets,Kharif,1.7
Suryapet,Sunflower,Kharif,1.0
Suryapet,Sweet potato,Kharif,12.42
Suryapet,Rice,Rabi,3.54
Suryapet,Safflower,Rabi,1.0
Suryapet,Sesamum,Rabi,0.73
Suryapet,Small millets,Rabi,1.0
Suryapet,Sugarcane,Kharif,89.0
Suryapet,Sunflower,Rabi,1.83
Suryapet,Sweet potato,Rabi,11.15
Suryapet,Tobacco,Rabi,3.33
Suryapet,Turmeric,Kharif,7.03
Vikarabad,Safflower,Kharif,0.85
Vikarabad,Sesamum,Kharif,0.23
Vikarabad,Ragi,Rabi,1.33
Vikarabad,Rice,Rabi,3.11
Vikarabad,Safflower,Rabi,0.82
Vikarabad,Sesamum,Rabi,0.71
Vikarabad,Small millets,Kharif,0.78
Vikarabad,Small millets,Rabi,0.75
Vikarabad,Soyabean,Kharif,1.71
Vikarabad,Sunflower,Kharif,3.0
Vikarabad,Soyabean,Rabi,1.37
Vikarabad,Sugarcane,Kharif,76.18
Vikarabad,Sunflower,Rabi,2.09
Vikarabad,Sweet potato,Kharif,10.26
Vikarabad,Sweet potato,Rabi,10.09
Vikarabad,Turmeric,Rabi,12.14
Vikarabad,Turmeric,Kharif,8.45
Vikarabad,Urad,Kharif,0.76
Vikarabad,Urad,Rabi,1.66
Vikarabad,Wheat,Kharif,2.0
Vikarabad,Wheat,Rabi,1.97
Wanaparthy,Arhar/Tur,Rabi,0.81
Wanaparthy,Bajra,Kharif,1.0
Wanaparthy,Banana,Kharif,47.0
Wanaparthy,Arhar/Tur,Kharif,0.56
Wanaparthy,Castor seed,Kharif,0.92
Wanaparthy,Castor seed,Rabi,0.95
Wanaparthy,Cowpea(Lobia),Rabi,1.0
Wanaparthy,Dry chillies,Rabi,5.64
Wanaparthy,Gram,Rabi,1.85
Wanaparthy,Groundnut,Rabi,2.65
Wanaparthy,Horse-gram,Rabi,1.07
Wanaparthy,Jowar,Rabi,1.88
Wanaparthy,Maize,Rabi,6.22
Wanaparthy,Moong(Green Gram),Rabi,0.92
Wanaparthy,Onion,Rabi,30.1
Wanaparthy,Ragi,Rabi,1.42
Suryapet,Turmeric,Rabi,6.0
Suryapet,Urad,Rabi,1.29
Suryapet,Urad,Kharif,0.84
Vikarabad,Arhar/Tur,Kharif,0.73
Vikarabad,Arhar/Tur,Rabi,0.83
Vikarabad,Bajra,Kharif,0.89
Vikarabad,Bajra,Rabi,2.03
Vikarabad,Banana,Kharif,53.63
Vikarabad,Castor seed,Kharif,0.85
Vikarabad,Coriander,Kharif,0.59
Vikarabad,Castor seed,Rabi,1.26
Vikarabad,Coriander,Rabi,0.76
Vikarabad,Cowpea(Lobia),Kharif,0.8
Vikarabad,Cowpea(Lobia),Rabi,0.99
Siddipet,Sesamum,Kharif,0.32
Siddipet,Soyabean,Kharif,1.43
Siddipet,Sunflower,Kharif,2.03
Siddipet,Safflower,Rabi,1.12
Siddipet,Sesamum,Rabi,0.7
Siddipet,Small millets,Kharif,0.5
Siddipet,Soyabean,Rabi,1.6
Siddipet,Sugarcane,Kharif,90.37
Siddipet,Sunflower,Rabi,2.11
Siddipet,Tobacco,Rabi,2.51
Siddipet,Turmeric,Kharif,6.86
Siddipet,Urad,Kharif,0.85
Siddipet,Turmeric,Rabi,7.0
Siddipet,Urad,Rabi,1.4
Siddipet,Wheat,Kharif,2.0
Siddipet,Ragi,Rabi,2.0
Siddipet,Rice,Rabi,3.36
Wanaparthy,Urad,Rabi,1.46
Wanaparthy,Wheat,Rabi,2.0
Warangal,Arhar/Tur,Rabi,0.89
Warangal,Bajra,Rabi,2.17
Warangal,Banana,Whole Year,31.14
Warangal,Cashewnut,Kharif,1.0
Warangal,Castor seed,Rabi,1.0
Wanaparthy,Tobacco,Kharif,3.0
Wanaparthy,Urad,Kharif,0.83
Warangal,Arhar/Tur,Kharif,0.82
Warangal,Bajra,Kharif,1.0
Warangal,Banana,Kharif,51.82
Warangal,Castor seed,Kharif,0.62
Warangal,Coriander,Rabi,3.27
Warangal,Cowpea(Lobia),Kharif,0.75
Warangal,Dry chillies,Kharif,3.54
Warangal,Coriander,Kharif,1.0
Warangal,Coriander,Whole Year,0.49
Warangal,Cowpea(Lobia),Rabi,4.44
Warangal,Dry chillies,Rabi,3.23
Warangal,Ginger,Kharif,8.03
Warangal,Gram,Kharif,1.0
Warangal,Groundnut,Kharif,3.14
Warangal,Ginger,Rabi,7.0
Warangal,Gram,Rabi,1.15
Warangal,Groundnut,Rabi,2.45
Warangal,Horse-gram,Rabi,0.7
Warangal,Jowar,Rabi,1.58
Warangal,Maize,Rabi,7.89
Warangal,Moong(Green Gram),Rabi,0.78
Warangal,Horse-gram,Kharif,1.0
Warangal,Jowar,Kharif,0.87
Warangal,Maize,Kharif,5.37
Warangal,Moong(Green Gram),Kharif,0.71
Warangal,Oilseeds total,Rabi,1.65
Warangal,Onion,Rabi,30.1
Warangal,Ragi,Rabi,1.0
Warangal,Rice,Rabi,3.59
Warangal,Safflower,Rabi,1.0
Warangal,Sesamum,Rabi,0.55
Warangal,Oilseeds total,Kharif,1.25
Warangal,Onion,Kharif,18.01
Warangal,Ragi,Kharif,1.6
Warangal,Rice,Kharif,2.98
Warangal,Sesamum,Kharif,0.16
Warangal,Small millets,Kharif,1.38
Warangal,Soyabean,Rabi,1.32
Warangal,Sugarcane,Kharif,82.42
Warangal,Soyabean,Kharif,1.43
Warangal,Sunflower,Kharif,2.0
Warangal,Sunflower,Rabi,1.87
Warangal,Sweet potato,Whole Year,6.4
Warangal,Tobacco,Rabi,3.27
Warangal,Sweet potato,Rabi,12.61
Warangal,Tobacco,Kharif,3.38
Warangal,Turmeric,Kharif,5.51
Warangal,Turmeric,Rabi,5.61
Warangal,Urad,Rabi,1.16
Warangal urban,Arhar/Tur,Rabi,0.79
Warangal,Urad,Kharif,0.71
Warangal urban,Arhar/Tur,Kharif,0.67
Warangal urban,Bajra,Kharif,1.0
Warangal urban,Bajra,Rabi,3.0
Warangal urban,Banana,Kharif,49.75
Warangal urban,Castor seed,Kharif,0.76
Warangal urban,Coriander,Rabi,1.0
Warangal urban,Cowpea(Lobia),Kharif,0.71
Warangal urban,Cowpea(Lobia),Rabi,0.91
Warangal urban,Dry chillies,Kharif,4.0
Warangal urban,Gram,Kharif,2.0
Warangal urban,Groundnut,Kharif,2.69
Warangal urban,Horse-gram,Kharif,0.93
Warangal urban,Dry chillies,Rabi,5.57
Warangal urban,Garlic,Rabi,1.72
Warangal urban,Ginger,Kharif,9.0
Warangal urban,Gram,Rabi,1.27
Warangal urban,Groundnut,Rabi,1.65
Warangal urban,Horse-gram,Rabi,1.07
Warangal urban,Jowar,Kharif,0.92
Warangal urban,Jowar,Rabi,2.26
Warangal urban,Maize,Kharif,5.66
Warangal urban,Maize,Rabi,7.26
Warangal urban,Moong(Green Gram),Rabi,0.92
Warangal urban,Moong(Green Gram),Kharif,0.45
Warangal urban,Onion,Kharif,14.56
Warangal urban,Rice,Kharif,3.04
Warangal urban,Onion,Rabi,30.1
Warangal urban,Potato,Kharif,12.0
Warangal urban,Ragi,Kharif,1.79
Warangal urban,Rice,Rabi,3.78
Warangal urban,Safflower,Kharif,1.0
Warangal urban,Safflower,Rabi,0.92
Warangal urban,Sesamum,Kharif,0.31
Warangal urban,Sesamum,Rabi,0.72
Warangal urban,Small millets,Kharif,1.22
Warangal urban,Soyabean,Kharif,1.6
Warangal urban,Soyabean,Rabi,1.63
Warangal urban,Sunflower,Rabi,2.07
Warangal urban,Tobacco,Rabi,2.82
Warangal urban,Turmeric,Rabi,6.39
Warangal urban,Urad,Rabi,1.43
Warangal urban,Wheat,Rabi,2.0
Yadadri,Arhar/Tur,Rabi,0.88
Yadadri,Bajra,Rabi,1.0
Warangal urban,Tobacco,Kharif,2.6
Warangal urban,Turmeric,Kharif,6.51
Warangal urban,Urad,Kharif,0.84
Yadadri,Arhar/Tur,Kharif,0.59
Yadadri,Bajra,Kharif,0.8
Yadadri,Banana,Kharif,49.73
Yadadri,Cashewnut,Kharif,0.67
Yadadri,Castor seed,Kharif,0.8
Yadadri,Cowpea(Lobia),Kharif,0.85
Yadadri,Castor seed,Rabi,1.02
Yadadri,Coriander,Rabi,0.76
Yadadri,Cowpea(Lobia),Rabi,0.83
Yadadri,Dry chillies,Rabi,5.57
Yadadri,Dry chillies,Kharif,4.33
Yadadri,Ginger,Kharif,9.0
Yadadri,Gram,Rabi,1.53
Yadadri,Groundnut,Rabi,2.29
Yadadri,Horse-gram,Rabi,1.04
Yadadri,Jowar,Rabi,1.82
Yadadri,Maize,Rabi,7.66
Yadadri,Groundnut,Kharif,2.22
Yadadri,Horse-gram,Kharif,1.1
Yadadri,Jowar,Kharif,0.73
Yadadri,Maize,Kharif,3.34
Yadadri,Moong(Green Gram),Kharif,0.61
Yadadri,Moong(Green Gram),Rabi,0.92
Yadadri,Onion,Rabi,29.92
Yadadri,Potato,Rabi,17.22
Yadadri,Ragi,Kharif,1.76
Yadadri,Rice,Kharif,3.31
Yadadri,Rice,Rabi,3.61
Yadadri,Safflower,Rabi,0.94
Yadadri,Safflower,Kharif,1.0
Yadadri,Sesamum,Kharif,0.18
Yadadri,Sesamum,Rabi,0.76
Yadadri,Small millets,Rabi,1.41
Yadadri,Small millets,Kharif,1.16
Yadadri,Soyabean,Kharif,1.6
Yadadri,Soyabean,Rabi,1.5
Yadadri,Sugarcane,Kharif,89.49
Yadadri,Sunflower,Rabi,1.4
Yadadri,Sweet potato,Kharif,12.37
Yadadri,Sweet potato,Rabi,11.67
Yadadri,Tobacco,Rabi,2.25
Yadadri,Tobacco,Kharif,3.8
Yadadri,Urad,Kharif,0.82
Yadadri,Turmeric,Kharif,7.17
Yadadri,Urad,Rabi,1.39
Yadadri,Wheat,Rabi,2.03
