year,district,crop,season,yield
2024,Jayashankar,Dry chillies,Kharif,6.27
2024,Jayashankar,Dry chillies,Rabi,5.41
2024,Jayashankar,Gram,Kharif,1.33
2024,Jayashankar,Gram,Rabi,1.47
2024,Jayashankar,Groundnut,Kharif,2.68
2024,Jayashankar,Groundnut,Rabi,1.93
2024,Jayashankar,Horse-gram,Kharif,1.8
2024,Jayashankar,Horse-gram,Rabi,0.76
2024,Jayashankar,Jowar,Kharif,0.64
2024,Jayashankar,Jowar,Rabi,2.1
2024,Jayashankar,Maize,Kharif,5.67
2024,Jayashankar,Maize,Rabi,7.93
2024,Jayashankar,Moong(Green Gram),Kharif,0.65
2024,Jayashankar,Moong(Green Gram),Rabi,0.91
2024,Jayashankar,Onion,Rabi,30.1
2024,Jayashankar,Ragi,Kharif,1.54
2024,Jayashankar,Ragi,Rabi,0.94
2024,Jayashankar,Rice,Kharif,3.08
2024,Jayashankar,Rice,Rabi,3.38
2024,Jayashankar,Sesamum,Kharif,0.18
2024,Jayashankar,Sesamum,Rabi,0.68
2024,Jayashankar,Small millets,Kharif,1.7
2024,Jayashankar,Small millets,Rabi,1.0
2024,Jayashankar,Soyabean,Kharif,1.6
2024,Jayashankar,Soyabean,Rabi,1.5
2024,Jayashankar,Sugarcane,Kharif,84.0
2024,Jayashankar,Sunflower,Kharif,3.0
2024,Jayashankar,Sunflower,Rabi,2.13
2024,Jayashankar,Tobacco,Kharif,3.84
2024,Jayashankar,Tobacco,Rabi,3.36
2024,Jayashankar,Turmeric,Kharif,6.87
2024,Jayashankar,Turmeric,Rabi,7.33
2024,Jayashankar,Urad,Kharif,0.87
2024,Jayashankar,Urad,Rabi,1.3
2024,Jayashankar,Wheat,Rabi,2.0
2024,Jogulamba,Arhar/Tur,Kharif,0.6
2024,Jogulamba,Arhar/Tur,Rabi,0.75
2024,Jogulamba,Bajra,Kharif,1.02
2024,Jogulamba,Bajra,Rabi,2.15
2024,Jogulamba,Banana,Kharif,49.71
2024,Jogulamba,Castor seed,Kharif,0.84
2024,Jogulamba,Castor seed,Rabi,0.92
2024,Jogulamba,Coriander,Rabi,0.59
2024,Jogulamba,Cowpea(Lobia),Kharif,0.85
2024,Jogulamba,Cowpea(Lobia),Rabi,1.45
2024,Jogulamba,Dry chillies,Kharif,3.46
2024,Jogulamba,Dry chillies,Rabi,4.01
2024,Jogulamba,Gram,Rabi,1.07
2024,Jogulamba,Groundnut,Kharif,1.94
2024,Jogulamba,Groundnut,Rabi,2.45
2024,Jogulamba,Horse-gram,Kharif,1.01
2024,Jogulamba,Horse-gram,Rabi,1.02
2024,Jogulamba,Jowar,Kharif,0.93
2024,Jogulamba,Jowar,Rabi,2.03
2024,Jogulamba,Maize,Kharif,3.44
2024,Jogulamba,Maize,Rabi,5.22
2024,Jogulamba,Moong(Green Gram),Kharif,0.55
2024,Jogulamba,Moong(Green Gram),Rabi,0.96
2024,Jogulamba,Onion,Kharif,14.62
2024,Jogulamba,Onion,Rabi,27.91
2024,Jogulamba,Ragi,Kharif,1.59
2024,Jogulamba,Rice,Kharif,2.86
2024,Jogulamba,Rice,Rabi,2.87
2024,Jogulamba,Safflower,Rabi,1.0
2024,Jogulamba,Sesamum,Kharif,0.25
2024,Jogulamba,Sesamum,Rabi,0.64
2024,Jogulamba,Small millets,Kharif,0.97
2024,Jogulamba,Small millets,Rabi,0.96
2024,Jogulamba,Soyabean,Kharif,1.47
2024,Jogulamba,Soyabean,Rabi,1.53
2024,Jogulamba,Sugarcane,Kharif,72.82
2024,Jogulamba,Sunflower,Kharif,1.75
2024,Jogulamba,Sunflower,Rabi,2.1
2024,Jogulamba,Tobacco,Kharif,2.23
2024,Jogulamba,Tobacco,Rabi,2.24
2024,Jogulamba,Urad,Kharif,0.85
2024,Jogulamba,Urad,Rabi,1.37
2024,Jogulamba,Wheat,Rabi,2.22
2024,Kamareddy,Arhar/Tur,Kharif,1.01
