district,crop,season,price
Nalgonda,Onion,Rabi,1753.64
Nalgonda,Potato,Rabi,2353.11
Nalgonda,Sesamum,Rabi,6829.65
Nalgonda,Urad,Rabi,6146.28
Nizamabad,Arhar/Tur,Rabi,4180.73
Nizamabad,Bajra,Rabi,1585.5
Nizamabad,Banana,Whole Year,980.17
Nizamabad,Castor seed,Rabi,3530.42
Nizamabad,Castor seed,Kharif,2607.0
Nizamabad,Coriander,Kharif,5373.89
Nizamabad,Coriander,Rabi,6807.68
Nizamabad,Dry chillies,Rabi,6600.0
Nizamabad,Gram,Rabi,3443.7
Nizamabad,Groundnut,Rabi,3771.78
Nizamabad,Horse-gram,Rabi,1900.0
Nizamabad,Jowar,Rabi,1260.51
Nizamabad,Coriander,Whole Year,5864.22
Nizamabad,Dry chillies,Kharif,14501.0
Nizamabad,Garlic,Rabi,1715.07
Nizamabad,Gram,Kharif,3899.33
Nizamabad,Groundnut,Kharif,3136.89
Nizamabad,Horse-gram,Kharif,4653.13
Nizamabad,Jowar,Kharif,1386.33
Nizamabad,Maize,Kharif,1680.51
Nizamabad,Maize,Rabi,1657.66
Nizamabad,Moong(Green Gram),Kharif,5236.7
Nizamabad,Moong(Green Gram),Rabi,5529.44
Nizamabad,Mustard,Rabi,3946.64
Nizamabad,Onion,Kharif,1781.06
Nizamabad,Onion,Rabi,1011.21
Nizamabad,Potato,Whole Year,1100.0
Nizamabad,Potato,Kharif,1100.0
Nizamabad,Rice,Kharif,3176.65
Nizamabad,Safflower,Kharif,2200.0
Nizamabad,Rice,Rabi,3905.95
Nizamabad,Safflower,Rabi,2858.82
Nizamabad,Sesamum,Kharif,11041.96
Nizamabad,Soyabean,Kharif,3804.16
Nizamabad,Sunflower,Kharif,4192.16
Nizamabad,Sesamum,Rabi,9608.67
Nizamabad,Soyabean,Rabi,4350.59
Nizamabad,Sunflower,Rabi,3068.26
Nizamabad,Turmeric,Rabi,9751.49
Nizamabad,Urad,Rabi,6662.07
Nizamabad,Wheat,Rabi,1475.41
Nizamabad,Turmeric,Kharif,6880.24
Nizamabad,Urad,Kharif,5124.42
Nizamabad,Wheat,Kharif,1466.47
Ranga Reddy,Arhar/Tur,Rabi,7726.26
Ranga Reddy,Gram,Rabi,4437.2
Ranga Reddy,Groundnut,Rabi,5141.48
Ranga Reddy,Arhar/Tur,Kharif,6961.77
Ranga Reddy,Bajra,Rabi,1175.0
Ranga Reddy,Coriander,Whole Year,200.0
Ranga Reddy,Gram,Kharif,4228.9
Ranga Reddy,Groundnut,Kharif,5158.28
Ranga Reddy,Horse-gram,Kharif,4825.0
Ranga Reddy,Jowar,Kharif,2008.48
Ranga Reddy,Jowar,Rabi,2777.96
Ranga Reddy,Maize,Rabi,1711.36
Ranga Reddy,Moong(Green Gram),Rabi,5832.7
Ranga Reddy,Maize,Kharif,1653.51
Ranga Reddy,Moong(Green Gram),Kharif,6088.72
Ranga Reddy,Onion,Kharif,1883.15
Ranga Reddy,Onion,Rabi,1558.51
Ranga Reddy,Potato,Kharif,1375.4
Ranga Reddy,Potato,Whole Year,1515.45
Ranga Reddy,Ragi,Kharif,2085.52
Ranga Reddy,Rice,Kharif,3056.43
Ranga Reddy,Safflower,Rabi,3973.59
Ranga Reddy,Sesamum,Kharif,5419.46
Ranga Reddy,Soyabean,Kharif,3921.28
Ranga Reddy,Sunflower,Rabi,2839.0
Ranga Reddy,Sweet potato,Kharif,2293.21
Ranga Reddy,Potato,Rabi,1526.36
Ranga Reddy,Ragi,Rabi,1908.96
Ranga Reddy,Soyabean,Rabi,4640.05
Ranga Reddy,Sweet potato,Rabi,2096.11
Ranga Reddy,Turmeric,Rabi,9475.18
Ranga Reddy,Urad,Rabi,5735.95
Ranga Reddy,Sweet potato,Whole Year,2438.65
Ranga Reddy,Turmeric,Kharif,6133.61
Ranga Reddy,Urad,Kharif,6336.36
Warangal,Arhar/Tur,Kharif,6376.57
Warangal,Bajra,Kharif,1825.0
Warangal,Banana,Kharif,2863.47
Warangal,Arhar/Tur,Rabi,6645.2
Warangal,Banana,Whole Year,2878.86
Warangal,Castor seed,Rabi,4110.54
Warangal,Coriander,Whole Year,6572.62
Warangal,Castor seed,Kharif,4187.01
Warangal,Coriander,Rabi,5116.69
Warangal,Cowpea(Lobia),Kharif,4606.67
Warangal,Cowpea(Lobia),Rabi,5456.12
Warangal,Dry chillies,Kharif,11860.1
Warangal,Gram,Kharif,5651.92
Warangal,Dry chillies,Rabi,12773.01
Warangal,Gram,Rabi,5338.94
Warangal,Groundnut,Kharif,5024.2
Warangal,Groundnut,Rabi,4690.85
Warangal,Horse-gram,Rabi,3569.0
Warangal,Jowar,Kharif,1127.03
Warangal,Jowar,Rabi,2317.76
Warangal,Maize,Kharif,1748.46
Warangal,Maize,Rabi,1672.1
Warangal,Moong(Green Gram),Kharif,5264.29
Warangal,Mustard,Rabi,3797.71
Warangal,Onion,Kharif,3514.82
Warangal,Potato,Kharif,2375.78
Warangal,Moong(Green Gram),Rabi,5933.35
Warangal,Onion,Rabi,2524.8
Warangal,Potato,Rabi,2277.31
Warangal,Potato,Whole Year,2405.83
Warangal,Sesamum,Kharif,9294.38
Warangal,Soyabean,Kharif,3346.65
Warangal,Sesamum,Rabi,8865.01
Warangal,Soyabean,Rabi,3175.73
Warangal,Sunflower,Rabi,4438.69
Warangal,Sunflower,Kharif,4780.34
Warangal,Turmeric,Kharif,5978.07
Warangal,Urad,Kharif,4415.2
Warangal,Turmeric,Rabi,9400.42
Warangal,Urad,Rabi,6037.92
Adilabad,Sesamum,Rabi,9759.99
Adilabad,Soyabean,Rabi,4726.07
Adilabad,Turmeric,Rabi,8855.34
Adilabad,Urad,Rabi,5658.34
Adilabad,Wheat,Rabi,1909.41
Hyderabad,Banana,Whole Year,946.07
Hyderabad,Coriander,Rabi,7057.48
Hyderabad,Dry chillies,Rabi,8324.82
Adilabad,Urad,Kharif,5352.52
Adilabad,Wheat,Kharif,1815.24
Hyderabad,Banana,Kharif,1035.68
Hyderabad,Coriander,Kharif,7285.34
Hyderabad,Coriander,Whole Year,7192.26
Hyderabad,Dry chillies,Kharif,8172.72
Hyderabad,Garlic,Kharif,9205.01
Hyderabad,Garlic,Rabi,8688.58
Hyderabad,Groundnut,Rabi,2167.47
Hyderabad,Groundnut,Kharif,2211.4
Hyderabad,Maize,Kharif,971.73
Hyderabad,Maize,Rabi,1092.78
Hyderabad,Onion,Rabi,1137.1
Hyderabad,Onion,Kharif,1855.88
Hyderabad,Potato,Rabi,1569.15
Hyderabad,Potato,Kharif,1739.51
Hyderabad,Potato,Whole Year,1541.57
Adilabad,Arhar/Tur,Kharif,6899.51
Adilabad,Banana,Whole Year,707.29
Adilabad,Banana,Kharif,587.0
Adilabad,Coriander,Kharif,4831.2
Adilabad,Arhar/Tur,Rabi,7088.74
