year,district,crop,season,price
2025,Ranga Reddy,Turmeric,Kharif,6133.61
2025,Ranga Reddy,Turmeric,Rabi,9475.18
2025,Ranga Reddy,Urad,Kharif,6336.36
2025,Ranga Reddy,Urad,Rabi,5735.95
2025,Warangal,Arhar/Tur,Kharif,6376.57
2025,Warangal,Arhar/Tur,Rabi,6645.2
2025,Warangal,Bajra,Kharif,1825.0
2025,Warangal,Banana,Kharif,2863.47
2025,Warangal,Banana,Whole Year,2878.86
2025,Warangal,Castor seed,Kharif,4187.01
2025,Warangal,Castor seed,Rabi,4110.54
2025,Warangal,Coriander,Rabi,5116.69
2025,Warangal,Coriander,Whole Year,6572.62
2025,Warangal,Cowpea(Lobia),Kharif,4606.67
2025,Warangal,Cowpea(Lobia),Rabi,5456.12
2025,Warangal,Dry chillies,Kharif,11860.1
2025,Warangal,Dry chillies,Rabi,12773.01
2025,Warangal,Gram,Kharif,5651.92
2025,Warangal,Gram,Rabi,5338.94
2025,Warangal,Groundnut,Kharif,5024.2
2025,Warangal,Groundnut,Rabi,4690.85
2025,Warangal,Horse-gram,Rabi,3569.0
2025,Warangal,Jowar,Kharif,1127.03
2025,Warangal,Jowar,Rabi,2317.76
2025,Warangal,Maize,Kharif,1748.46
2025,Warangal,Maize,Rabi,1672.1
2025,Warangal,Moong(Green Gram),Kharif,5264.29
2025,Warangal,Moong(Green Gram),Rabi,5933.35
2025,Warangal,Mustard,Rabi,3797.71
2025,Warangal,Onion,Kharif,3514.82
2025,Warangal,Onion,Rabi,2524.8
2025,Warangal,Potato,Kharif,2375.78
2025,Warangal,Potato,Rabi,2277.31
2025,Warangal,Potato,Whole Year,2405.83
2025,Warangal,Sesamum,Kharif,9294.38
2025,Warangal,Sesamum,Rabi,8865.01
2025,Warangal,Soyabean,Kharif,3346.65
2025,Warangal,Soyabean,Rabi,3175.73
2025,Warangal,Sunflower,Kharif,4780.34
2025,Warangal,Sunflower,Rabi,4438.69
2025,Warangal,Turmeric,Kharif,5978.07
2025,Warangal,Turmeric,Rabi,9400.42
2025,Warangal,Urad,Kharif,4415.2
2025,Warangal,Urad,Rabi,6037.92
